,Normal,eyes-mavis,ears-clover,back-hermit : aquatic-back-02,mouth-lam : aquatic-mouth-02,horn-lagging : bug-horn-02,tail-koi : aquatic-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-zeal,ears-nut-cracker,back-ronin : beast-back-02,mouth-catfish : aquatic-mouth-04,horn-unko : reptile-horn-02,tail-shiba : beast-tail-06,,1.4867,1.749,2.6235
,Normal,eyes-lucas,ears-bubblemaker,back-snail-shell : bug-back-02,mouth-catfish : aquatic-mouth-04,horn-unko : reptile-horn-02,tail-cottontail : beast-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-little-peas,ears-nyan,back-green-thorns : reptile-back-06,mouth-pincer : bug-mouth-04,horn-lagging : bug-horn-02,tail-ant : bug-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-papi,ears-curved-spine,back-turnip : plant-back-02,mouth-pincer : bug-mouth-04,horn-teal-shell : aquatic-horn-04,tail-carrot : plant-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-sleepless,ears-rosa,back-crystal-hermit : aquatic-back-02,mouth-pincer : bug-mouth-04,horn-beech : plant-horn-04,tail-cattail : plant-tail-04,,16.8725,19.85,29.775
,Fuzzy,eyes-tricky,ears-nyan,back-hero : beast-back-04,mouth-lam : aquatic-mouth-02,horn-golden-shell : bird-horn-02,tail-cottontail : beast-tail-02,,16.8725,19.85,29.775
,Fuzzy,eyes-zeal,ears-pogona,back-green-thorns : reptile-back-06,mouth-lam : aquatic-mouth-02,horn-rose-bud : plant-horn-06,tail-hatsune : plant-tail-06,,1.4867,1.749,2.6235
,Normal,eyes-confused,ears-tiny-fan,back-shiitake : plant-back-04,mouth-zigzag : plant-mouth-04,horn-little-branch : beast-horn-02,tail-nimo : aquatic-tail-04,,1.4867,1.749,2.6235
,Normal,eyes-insomnia,ears-innocent-lamb,back-bidens : plant-back-06,mouth-lam : aquatic-mouth-02,horn-bamboo-shoot : plant-horn-02,tail-tadpole : aquatic-tail-06,,16.8725,19.85,29.775
,Normal,eyes-sleepless,ears-vector,back-blue-moon : aquatic-back-04,mouth-lam : aquatic-mouth-02,horn-imp : beast-horn-04,tail-feather-fan : bird-tail-04,,16.8725,19.85,29.775
,Normal,eyes-tricky,ears-the-last-leaf,back-bidens : plant-back-06,mouth-serious : plant-mouth-02,horn-little-branch : beast-horn-02,tail-swallow : bird-tail-02,,16.8725,19.85,29.775
,Normal,eyes-tricky,ears-tiny-fan,back-hero : beast-back-04,mouth-kotaro : reptile-mouth-04,horn-imp : beast-horn-04,tail-carrot : plant-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-dreamy-papi,ears-owl,back-bidens : plant-back-06,mouth-serious : plant-mouth-02,horn-unko : reptile-horn-02,tail-koi : aquatic-tail-02,,16.8725,19.85,29.775
,Normal,eyes-clear,ears-innocent-lamb,back-jaguar : beast-back-06,mouth-kotaro : reptile-mouth-04,horn-bamboo-shoot : plant-horn-02,tail-shiba : beast-tail-06,,1.4867,1.749,2.6235
,Normal,eyes-neo,ears-pink-cheek,back-snail-shell : bug-back-02,mouth-peace-maker : bird-mouth-04,horn-teal-shell : aquatic-horn-04,tail-koi : aquatic-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-calico-zeal,ears-innocent-lamb,back-jaguar : beast-back-06,mouth-goda : beast-mouth-04,horn-lagging : bug-horn-02,tail-shiba : beast-tail-06,,16.8725,19.85,29.775
,Normal,eyes-zeal,ears-clover,back-turnip : plant-back-02,mouth-doubletalk : bird-mouth-02,horn-clamshell : aquatic-horn-06,tail-rice : beast-tail-04,,1.4867,1.749,2.6235
,Normal,eyes-dreamy-papi,ears-early-bird,back-buzz-buzz : bug-back-06,mouth-catfish : aquatic-mouth-04,horn-clamshell : aquatic-horn-06,tail-nimo : aquatic-tail-04,,16.8725,19.85,29.775
,Normal,eyes-neo,ears-ear-breathing,back-goldfish : aquatic-back-06,mouth-pincer : bug-mouth-04,horn-babylonia : aquatic-horn-02,tail-carrot : plant-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-crimson-gecko,ears-deadly-pogona,back-shiitake : plant-back-04,mouth-zigzag : plant-mouth-04,horn-bamboo-shoot : plant-horn-02,tail-carrot : plant-tail-02,,42.4915,49.99,74.985
,Normal,eyes-bookworm,ears-clover,back-goldfish : aquatic-back-06,mouth-serious : plant-mouth-02,horn-babylonia : aquatic-horn-02,tail-carrot : plant-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-bookworm,ears-nyan,back-goldfish : aquatic-back-06,mouth-serious : plant-mouth-02,horn-eggshell : bird-horn-02,tail-carrot : plant-tail-02,,1.4867,1.749,2.6235
